id,work_id,status_id,start_date,end_date,timestamp
1,1,1,2022-08-15 00:00:00.000000,2022-08-22 00:00:00.000000,2022-08-15 06:56:45.962026
2,2,1,2022-08-15 00:00:00.000000,2022-08-15 06:57:13.506991,2022-08-15 06:57:13.464491
2,2,3,2022-08-15 06:57:13.506991,2022-08-15 06:58:30.985828,2022-08-15 06:57:21.987481
4,3,1,2022-08-15 00:00:00.000000,2022-08-15 06:57:50.342039,2022-08-15 06:57:50.298538
4,3,3,2022-08-15 06:57:50.342039,2022-08-15 06:58:26.800334,2022-08-15 06:58:00.464295
5,3,4,2022-08-15 06:58:26.800334,2022-08-15 06:58:29.933330,2022-08-15 06:58:29.933330
6,2,4,2022-08-15 06:58:30.985828,2022-08-15 06:58:32.963326,2022-08-15 06:58:32.963326
8,4,1,2022-08-15 00:00:00.000000,2022-08-15 06:59:48.261798,2022-08-15 06:59:48.245798
8,4,4,2022-08-15 06:59:48.261798,2022-08-15 07:00:09.107883,2022-08-15 07:00:09.107883
10,5,1,2022-08-15 00:00:00.000000,2022-08-15 07:00:38.639023,2022-08-15 07:00:38.615023
10,5,4,2022-08-15 07:00:38.639023,2022-08-15 07:00:43.583518,2022-08-15 07:00:43.583518
12,6,1,2022-08-15 00:00:00.000000,2022-08-15 07:01:17.650500,2022-08-15 07:01:17.636499
12,6,4,2022-08-15 07:01:17.650500,2022-08-15 00:00:00.000000,2022-08-29 14:17:20.398515
14,7,1,2022-08-15 00:00:00.000000,2022-08-15 07:02:27.868951,2022-08-15 07:02:27.852450
14,7,3,2022-08-15 07:02:27.868951,2022-08-21 03:36:54.862429,2022-08-15 07:02:33.773942
16,8,1,2022-08-15 00:00:00.000000,2022-08-15 07:03:46.364492,2022-08-15 07:03:46.346991
16,8,4,2022-08-15 07:03:46.364492,2022-08-15 07:04:01.880472,2022-08-15 07:03:55.860981
17,8,3,2022-08-15 07:04:01.880472,2022-08-31 21:28:58.500641,2022-08-15 07:04:04.218969
19,9,1,2022-08-15 00:00:00.000000,2022-08-15 07:04:23.675112,2022-08-15 07:04:23.652612
19,9,4,2022-08-15 07:04:23.675112,2022-08-15 00:00:00.000000,2022-08-31 21:30:20.025200
21,10,1,2022-08-15 00:00:00.000000,2022-08-15 07:05:01.647465,2022-08-15 07:05:01.629964
21,10,4,2022-08-15 07:05:01.647465,2022-08-15 07:05:05.276960,2022-08-15 07:05:05.276960
23,11,1,2022-08-15 00:00:00.000000,2022-08-15 07:05:46.671033,2022-08-15 07:05:46.652033
23,11,2,2022-08-15 07:05:46.671033,2022-11-23 15:22:18.374786,2022-08-15 07:05:59.325713
25,12,1,2022-08-15 00:00:00.000000,2022-08-15 07:06:20.673428,2022-08-15 07:06:20.655927
25,12,4,2022-08-15 07:06:20.673428,2022-08-15 07:06:35.738419,2022-08-15 07:06:35.738419
27,13,1,2022-08-18 00:00:00.000000,2022-08-21 03:35:53.245321,2022-08-18 07:59:26.220604
27,13,3,2022-08-21 03:35:53.245321,2022-10-16 02:08:27.943745,2022-08-21 03:36:01.765273
28,7,4,2022-08-21 03:36:54.862429,2022-08-21 03:37:00.071622,2022-08-21 03:37:00.071622
30,14,1,2022-08-31 00:00:00.000000,2022-08-31 21:25:25.931641,2022-08-31 21:25:25.916142
30,14,4,2022-08-31 21:25:25.931641,2022-08-31 00:00:00.000000,2022-08-31 21:25:42.072143
32,15,1,2022-08-31 00:00:00.000000,2022-08-31 21:26:06.917597,2022-08-31 21:26:06.899596
32,15,4,2022-08-31 21:26:06.917597,2022-08-31 00:00:00.000000,2022-12-27 18:29:26.956868
34,16,1,2022-08-31 00:00:00.000000,2022-08-31 21:27:10.831402,2022-08-31 21:27:10.817902
34,16,4,2022-08-31 21:27:10.831402,2022-08-31 00:00:00.000000,2022-09-02 16:22:14.592599
36,17,1,2022-08-31 00:00:00.000000,2022-08-31 21:27:42.971239,2022-08-31 21:27:42.953240
36,17,4,2022-08-31 21:27:42.971239,2022-09-02 17:09:10.018594,2022-08-31 21:27:46.523205
38,18,1,2022-08-31 00:00:00.000000,2022-08-31 21:28:01.919422,2022-08-31 21:28:01.886922
38,18,4,2022-08-31 21:28:01.919422,2022-08-31 00:00:00.000000,2022-12-01 16:30:51.211134
40,19,1,2022-08-31 00:00:00.000000,2022-08-31 21:28:24.337003,2022-08-31 21:28:24.321503
40,19,4,2022-08-31 21:28:24.337003,2022-08-31 00:00:00.000000,2022-11-02 16:40:58.094359
41,8,4,2022-08-31 21:28:58.500641,2022-08-31 00:00:00.000000,2022-08-31 21:30:32.656157
42,17,3,2022-09-02 17:09:10.018594,2022-10-23 15:50:53.521305,2022-09-02 17:09:15.088846
44,20,1,2022-09-04 00:00:00.000000,2022-09-04 11:28:03.845093,2022-09-04 11:28:03.830192
44,20,2,2022-09-04 11:28:03.845093,2022-09-09 00:09:29.488805,2022-09-04 11:28:09.542968
45,20,4,2022-09-09 00:09:29.488805,2022-09-09 00:09:34.234722,2022-09-09 00:09:34.234722
47,21,1,2022-09-09 00:00:00.000000,2022-09-18 00:15:37.252052,2022-09-09 00:10:02.690254
47,21,4,2022-09-18 00:15:37.252052,2022-09-18 00:15:43.782660,2022-09-18 00:15:43.782660
49,22,1,2022-09-18 00:00:00.000000,2022-10-16 02:08:13.333591,2022-09-18 00:16:11.615115
50,23,1,2022-09-21 00:00:00.000000,2022-09-22 13:22:55.822459,2022-09-21 13:33:49.724583
50,23,5,2022-09-22 13:22:55.822459,2022-09-24 17:44:54.427622,2022-09-22 13:23:03.527020
51,23,1,2022-09-24 17:44:54.427622,2022-10-01 21:14:20.514750,2022-09-24 17:45:08.029469
52,23,4,2022-10-01 21:14:20.514750,2022-10-01 21:14:23.758649,2022-10-01 21:14:23.758649
54,24,1,2022-10-13 00:00:00.000000,2022-10-13 17:21:28.924297,2022-10-13 17:21:28.909298
54,24,0,2022-10-13 17:21:28.924297,2022-10-21 17:32:23.144604,2022-10-13 17:21:34.513424
56,25,1,2022-10-16 00:00:00.000000,2022-10-21 17:32:39.441809,2022-10-16 02:08:04.234717
56,22,3,2022-10-16 02:08:13.333591,2022-11-23 15:22:23.803290,2022-10-16 02:08:17.934883
57,13,4,2022-10-16 02:08:27.943745,2022-10-16 02:08:31.669794,2022-10-16 02:08:31.669794
58,24,3,2022-10-21 17:32:23.144604,2022-11-06 22:16:09.146408,2022-10-21 17:32:32.724935
59,25,3,2022-10-21 17:32:39.441809,2022-10-23 15:51:55.421909,2022-10-21 17:32:42.514192
61,26,1,2022-10-21 00:00:00.000000,2022-10-28 00:00:00.000000,2022-10-21 17:33:03.996549
61,17,4,2022-10-23 15:50:53.521305,2022-10-23 15:51:22.900092,2022-10-23 15:51:22.900092
62,25,4,2022-10-23 15:51:55.421909,2022-10-23 15:52:01.502640,2022-10-23 15:52:01.502640
64,27,1,2022-10-25 00:00:00.000000,2022-11-23 15:21:39.449146,2022-10-25 22:40:59.600794
65,28,1,2022-10-30 00:00:00.000000,2022-10-30 17:07:36.493296,2022-10-30 17:07:36.400296
65,28,4,2022-10-30 17:07:36.493296,2022-10-30 17:07:42.848291,2022-10-30 17:07:42.848291
67,29,1,2022-11-01 00:00:00.000000,2022-11-08 00:00:00.000000,2022-11-01 13:26:32.907282
68,30,1,2022-11-03 00:00:00.000000,2022-11-23 15:22:00.479488,2022-11-03 22:24:30.015244
69,31,1,2022-11-06 00:00:00.000000,2022-12-19 21:40:51.608675,2022-11-06 22:15:51.539523
