id,name,client_id,type_id,deposit,price,deposited,fully_paid,memo,client_requests,attachments
1,以后的事,1,0,0,0,0,0,不着急慢慢来,,
2,妈,2,0,500,1500,1,1,,,
3,文化卫士,3,0,1000,1500,1,1,进行曲,,
4,送别龙透关,0,0,0,3000,0,0,好好做,前面超级大管弦，后面酌情进鼓,
5,如果你来龙马潭,0,0,0,2000,0,0,随便水水,,
6,守护,0,0,0,0,0,1,医保,,
7,水墨人生,0,0,0,2000,0,0,随便水水,,
8,儿歌8首,1,0,1400,6400,1,1,,,
9,少年的梦,1,0,500,2000,1,1,鸡血励志6451,,
10,结巴十首串烧,4,0,500,2000,0,1,,,
11,爱,4,0,1300,1300,1,1,,,
12,美丽的蔷薇,3,0,500,2000,0,1,,,
13,酱酒豪情,0,0,0,0,0,0,时间急，好好整,,
14,古蔺青春,0,0,0,3000,1,0,,,
15,追光,0,0,0,3000,0,1,,,
16,书剑中国风,6,0,0,1000,0,1,特殊，价格+分红,,
17,红星,0,0,0,3000,1,1,,,
18,打古乡音,0,0,0,3000,0,1,,,
19,水美上马,0,0,0,3000,0,1,,,
20,黔之魂,3,0,1000,2000,1,1,,,
21,致康大逆行者,3,0,1000,2000,1,1,,,
22,0916,5,0,750,1500,1,1,,,
23,怀念周逸群,3,0,1000,2000,1,1,,,
24,玫瑰,4,0,1500,1500,1,1,,,
25,不言不语,1,0,500,1500,1,0,,,
26,坂田,1,3,800,1800,1,0,,,
27,妫川恋,6,0,1000,3000,1,1,,,
28,金兰高中,0,0,0,2000,0,0,21年做完一直没结,,
29,你是我意想不到的惊喜,1,0,0,1500,0,0,,,
30,二小,3,0,1000,2000,1,1,,,
31,偶攀新高,2,0,500,1500,1,1,,,
32,阿里军歌,7,0,0,0,0,0,军歌进行曲价格未定,,
33,忠诚利剑,1,0,1000,2500,1,0,,,
34,快乐阳光之歌,2,0,500,1500,1,1,,,
35,海天1,1,0,500,3000,1,0,作曲编曲,,
